<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MWG,20171101,93.74,93.74,92.00,92.29,613970
MWG,20171031,94.17,94.39,93.44,93.45,380140
MWG,20171030,96.29,96.29,93.82,94.39,586820
MWG,20171027,94.61,95.27,94.03,95.27,498290
MWG,20171026,96.73,96.73,93.45,94.76,906180
MWG,20171025,93.82,95.49,93.45,95.49,586890
MWG,20171024,90.83,93.09,90.83,93.09,806950
MWG,20171023,92.36,92.65,91.27,91.27,886300
MWG,20171020,96.72,98.03,92.57,92.72,1759640
MWG,20171019,93.45,96.00,93.45,95.99,643740
MWG,20171018,92.94,94.68,92.43,93.45,789940
MWG,20171017,92.36,93.08,91.99,92.79,438880
MWG,20171016,91.26,92.72,91.26,92.72,468240
MWG,20171013,89.45,90.90,89.45,90.90,539360
MWG,20171012,89.38,89.82,89.02,89.45,522850
MWG,20171011,89.81,90.32,88.86,88.87,516070
MWG,20171010,86.54,89.81,86.54,89.81,847320
MWG,20171009,85.52,86.54,85.52,86.54,391870
MWG,20171006,85.31,85.67,85.02,85.45,276260
MWG,20171005,86.46,86.46,85.08,85.09,339310
MWG,20171004,85.81,86.76,85.59,85.81,316560
MWG,20171003,85.30,86.32,85.15,85.81,552510
MWG,20171002,84.58,85.74,84.58,85.30,300420
MWG,20170929,84.36,84.87,84.21,84.58,190250
MWG,20170928,83.99,85.08,83.56,83.85,606770
MWG,20170927,85.09,85.45,83.63,83.63,465320
MWG,20170926,85.81,86.46,85.08,85.16,412600
MWG,20170925,85.08,86.83,85.08,85.81,552100
MWG,20170922,82.98,85.02,82.98,85.01,879430
MWG,20170921,82.90,83.55,82.90,82.98,221340
MWG,20170920,82.91,83.13,82.62,82.90,234100
MWG,20170919,83.05,83.49,82.40,82.69,384620
MWG,20170918,82.54,83.56,82.18,83.05,365170
MWG,20170915,82.98,83.49,82.32,82.76,299400
MWG,20170914,83.63,84.29,82.98,83.27,383810
MWG,20170913,82.10,83.85,82.10,83.27,873330
MWG,20170912,80.43,81.45,80.36,81.45,307880
MWG,20170911,79.92,81.81,79.92,80.36,829940
MWG,20170908,78.90,79.85,78.90,79.63,317800
MWG,20170907,78.90,79.49,78.76,78.83,254140
MWG,20170906,78.47,79.27,78.39,78.54,268760
MWG,20170905,79.56,79.63,78.54,78.54,418240
MWG,20170901,79.63,79.85,79.27,79.56,492190
MWG,20170831,79.63,79.92,79.41,79.56,361660
MWG,20170830,77.82,80.00,77.74,79.63,1158810
MWG,20170829,77.23,78.54,77.23,77.89,509890
MWG,20170828,76.95,77.02,76.44,77.01,385200
MWG,20170825,76.72,77.01,76.07,76.80,275330
MWG,20170824,75.63,76.79,75.56,76.65,444160
MWG,20170823,76.43,76.72,75.56,75.63,452770
MWG,20170822,77.24,77.60,76.44,76.43,199310
MWG,20170821,76.80,77.24,76.51,77.09,278040
MWG,20170818,76.80,77.67,76.00,76.80,319960
MWG,20170817,77.81,78.10,76.79,76.80,434080
MWG,20170816,78.18,78.90,77.96,78.10,266480
MWG,20170815,77.45,78.90,77.45,78.03,384890
MWG,20170814,76.94,77.96,76.72,77.45,229930
MWG,20170811,76.35,77.45,76.14,76.94,357440
MWG,20170810,74.90,76.80,74.90,76.50,314170
MWG,20170809,77.08,77.16,75.63,75.85,642160
MWG,20170808,79.26,79.34,77.59,77.81,401650
MWG,20170807,78.54,79.92,77.89,79.41,992150
MWG,20170804,74.18,77.45,73.82,77.45,975130
MWG,20170803,72.07,73.38,72.07,72.80,327450
MWG,20170802,72.14,73.09,72.07,72.36,183370
MWG,20170801,73.09,73.45,72.07,72.36,187240
MWG,20170731,73.45,73.67,72.72,73.09,230400
MWG,20170728,72.36,73.45,72.36,73.45,256490
MWG,20170727,72.72,73.08,72.07,72.36,207900
MWG,20170726,71.70,73.45,71.70,72.72,218910
MWG,20170725,71.27,71.85,71.13,71.70,219850
MWG,20170724,70.54,71.78,70.54,70.98,334540
MWG,20170721,73.09,73.45,70.18,70.54,744800
MWG,20170720,74.18,74.18,72.72,73.09,421830
MWG,20170719,74.32,74.47,73.81,74.25,195430
MWG,20170718,74.54,74.76,73.81,74.32,156360
MWG,20170717,74.18,76.29,74.18,75.05,566470
MWG,20170714,74.54,74.61,74.17,74.18,150230
MWG,20170713,74.83,74.83,73.89,74.61,162470
MWG,20170712,73.81,74.61,73.45,74.54,201330
MWG,20170711,73.81,74.17,73.08,73.81,282370
MWG,20170710,74.90,74.90,72.72,73.81,317010
MWG,20170707,74.62,75.20,74.62,74.90,352070
MWG,20170706,74.69,74.91,74.18,74.69,357610
MWG,20170705,75.27,75.63,74.69,74.69,247230
MWG,20170704,74.40,76.00,74.32,75.27,333370
MWG,20170703,74.83,75.85,74.54,74.76,554410
MWG,20170630,74.10,75.63,74.03,74.83,519720
MWG,20170629,73.09,74.18,72.80,73.45,404540
MWG,20170628,72.72,73.45,72.00,73.09,1111060
MWG,20170627,74.90,74.90,73.45,73.67,272110
MWG,20170626,75.63,75.63,74.10,74.90,321990
MWG,20170623,74.90,76.65,73.60,74.83,596460
MWG,20170622,71.05,73.45,71.05,73.45,398150
MWG,20170621,70.90,71.19,70.25,71.05,314390
